ID,Titre,Scenario,Reference_Regle,Application_Regle,Commentaires,Image,URL
42,A power-driven vessel under 12 m underway - displaced lights,Type of vessel: Power-driven vessel of less than 12 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 23 (Power-driven vessels underway ),"In accordance with Rule 23 (d)(iii) (Power-driven vessels underway ), the masthead light or all-round white light on a power driven vessel of less than 12 m in length may be displaced from the fore and aft centerline of the vessel if centerline fitting is not practicable, provided the sidelights are combined in one lantern which shall be carried on the fore and aft centerline of the vessel or located as nearly as practicable in the same fore and aft line as the masthead light or all-round white light.",,scenario_42.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=42
71,Vessel A has vessel B on her own starboard side (relative bearing STBD 100°),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A has vessel B on her own starboard side (relative bearing STBD 100°),Rule 15 (Crossing situation),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel A) which has the other (vessel B) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel A shall, if the circumstances of the case admit, avoid crossing ahead of the vessel B.","Crossing situation shall be deemed to exist when a vessel is approaching the other vessel from a direction right ahead to 112,5° on any side of the vessel except when vessels are meeting on reciprocal or nearly reciprocal courses. In crossing situation at night a vessel would be able to see only green or red sidelight and masthead light (s) of the other vessel.",scenario_71.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=71
72,Vessel A has vessel B on her own port side (relative bearing PORT 030°),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A has vessel B on her own port side (relative bearing PORT 030°),Rule 15 (Crossing situation),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel B) which has the other (vessel A) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel B shall, if the circumstances of the case admit, avoid crossing ahead of the vessel A.","Crossing situation shall be deemed to exist when a vessel is approaching the other vessel from a direction right ahead to 112,5° on any side of the vessel except when vessels are meeting on reciprocal or nearly reciprocal courses. In crossing situation at night a vessel would be able to see only green or red sidelight and masthead light (s) of the other vessel.",scenario_72.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=72
73,Vessel A has vessel B on her own port side (relative bearing PORT 100°),Vessel A: Power-driven vessel Vessel B: Power-driven vessel Area: On the high seas Visibility: Good (Vessels in sight of one another) Vessel A and vessel B are crossing so as to involve risk of collision Vessel A has vessel B on her own port side (relative bearing PORT 100°),Rule 15 (Crossing situation),"In accordance with Rule 15 (Crossing situation), when two power-driven vessels are crossing so as to involve risk of collision , the vessel (vessel B) which has the other (vessel A) on her own starboard side shall keep out of the way. In accordance with Rule 15 (Crossing situation), vessel B shall, if the circumstances of the case admit, avoid crossing ahead of the vessel A.","Crossing situation shall be deemed to exist when a vessel is approaching the other vessel from a direction right ahead to 112,5° on any side of the vessel except when vessels are meeting on reciprocal or nearly reciprocal courses. In crossing situation at night a vessel would be able to see only green or red sidelight and masthead light (s) of the other vessel.",scenario_73.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=73
74,A sailing vessel underway - lights,Type of vessel: Sailing vessel underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 25 (a) (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (a) (Sailings vessels underway and vessels under oars), a sailing vessel underway shall exhibit: (i) sidelights ; (ii) a sternlight .",,scenario_74.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=74
75,A sailing vessel underway - additional two all-round lights,Type of vessel: Sailing vessel underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 25 (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (c) (Sailings vessels underway and vessels under oars), a sailing vessel underway may, in addition to the lights prescribed in Rule 25 (a) (Sailings vessels underway and vessels under oars) exhibit at or near the top of the mast, where they can best be seen, two all-round lights in a vertical line, the upper being red and the lower green, but these lights shall not be exhibited in conjunction with the combined lantern permitted by Rule 25 (b) (Sailings vessels underway and vessels under oars).",,scenario_75.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=75
76,A sailing vessel under 20 m underway - lights,Type of vessel: Sailing vessel of less than 20 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 25 (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (b) (Sailings vessels underway and vessels under oars), in a sailing vessel underway of less than 20 metres in length the lights prescribed in Rule 25 (a) (Sailings vessels underway and vessels under oars) may be combined in one lantern at or near the top of the mast where it can best be seen.",,scenario_76.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=76
77,A vessel proceeding under sail when also being propelled by machinery - shapes,Type of vessel: Vessel proceeding under sail when also being propelled by machinery Time of the day: Daytime,Rule 25 (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (e) (Sailings vessels underway and vessels under oars), a vessel proceeding under sail when also being propelled by machinery shall exhibit forward where it can best be seen a conical shape, apex downwards.",,scenario_77.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=77
78,A sailing vessel under 7 m underway - lights,Type of vessel: Sailing vessel of less than 7 m in legth underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 25 (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (d) (i) (Sailings vessels underway and vessels under oars), a sailing vessel underway of less than 7 m in length shall, if practicable, exhibit the lights prescribed in Rule 25 (a) or (b) (Sailings vessels underway and vessels under oars), but if she does not, she shall have ready to hand an electric torch or lighted lantern showing a white light which shall be exhibited in sufficient time to prevent a collision.",,scenario_78.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=78
79,A vessel under oars - lights,Type of vessel: Vessel under oars Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 25 (Sailings vessels underway and vessels under oars),"In accordance with Rule 25 (d)(ii) (Sailings vessels underway and vessels under oars), a vessel under oars may exhibit the lights prescribed in Rule 25 (Sailings vessels underway and vessels under oars) for sailing vessels, but if she does not, she may have ready at hand an electric torch or lighted lantern showing a white light which shall be exhibited in sufficient time to prevent collision.",,scenario_79.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=79
80,A vessel engaged in trawling when making way through the water - lights,Type of vessel: Vessel engaged in trawling when making way through the water Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (b) (Fishing vessels), a vessel when engaged in trawling, by which is meant the dragging through the water of a dredge net or other apparatus used as a fishing appliance, shall exhibit: (i) two all-round lights in a vertical line, the upper being green and the lower white; (ii) a masthead light abaft of and higher that the all-round green light; (iii) sidelights and a sternlight . In accordance with Rule 26 (b) (ii) (Fishing vessels), a vessel of less than 50 metres in length shall not be obliged to exhibit a masthead light but may do so.",,scenario_80.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=80
81,A vessel engaged in trawling not making way through the water - lights,Type of vessel: Vessel engaged in trawling when not making way through the water Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (b) (Fishing vessels), a vessel when engaged in trawling, by which is meant the dragging through the water of a dredge net or other apparatus used as a fishing appliance, shall exhibit: (i) two all-round lights in a vertical line, the upper being green and the lower white; (ii) a masthead light abaft of and higher that the all-round green light. In accordance with Rule 26 (b) (ii) (Fishing vessels), a vessel of less than 50 m in length shall not be obliged to exhibit a masthead light but may do so.",,scenario_81.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=81
82,A vessel engaged in trawling - shapes,Type of vessel: Vessel engaged in trawling Time of the day: Daytime,Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (b) (Fishing vessels), a vessel when engaged in trawling, by which is meant the dragging through the water of a dredge net or other apparatus used as a fishing appliance, shall exhibit: (i) a shape consisting of two cones with their apexes together in a vertical line one above the other.",,scenario_82.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=82
83,"A vessel engaged in fishing, other than trawling when making way through the water - lights","Type of vessel: Vessel engaged in fishing , other than trawling when making way through the water (when the outlying gear does not extend more than 150 m horizontally from the vessel) Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) two all-round lights in a vertical line, the upper being red and the lower white; (iii) sidelights and a sternlight .",,scenario_83.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=83
84,"A vessel engaged in fishing, other than trawling not making way through the water - lights","Type of vessel: Vessel engaged in fishing , other than trawling not making way through the water (when the outlying gear does not extend more than 150 m horizontally from the vessel) Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) two all-round lights in a vertical line, the upper being red and the lower white.",,scenario_84.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=84
85,"A vessel engaged in fishing, other than trawling - shapes","Type of vessel: Vessel engaged in fishing , other than trawling (when the outlying gear does not extend more than 150 metres horizontally from the vessel) Time of the day: Daytime",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) a shape consisting of two cones with their apexes together in a vertical line one above the other.",,scenario_85.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=85
86,"A vessel engaged in fishing, other than trawling with outlying gear extending more than 150 m - shapes","Type of vessel: Vessel engaged in fishing , other than trawling when there is outlying gear extending more than 150 m horizontally from the vessel Time of the day: Daytime",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) a shape consisting of two cones with their apexes together in a vertical line one above the other; (ii) a cone apex upwards in the direction of the outlying gear.",,scenario_86.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=86
87,"A vessel engaged in fishing, other than trawling with outlying gear extending more than 150 m when not making way through the water - lights","Type of vessel: Vessel engaged in fishing , other than trawling when there is outlying gear extending more than 150 m horizontally from the vessel, when not making way through the water Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) two all-round lights in a vertical line, the upper being red and the lower white; (ii) an all-round white light in the direction of the outlying gear.",,scenario_87.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=87
88,"A vessel engaged in fishing, other than trawling with outlying gear extending more than 150 m when making way through the water - lights","Type of vessel: Vessel engaged in fishing , other than trawling when there is outlying gear extending more than 150 m horizontally from the vessel when making way thorugh the water Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility",Rule 26 (Fishing vessels),"In accordance with Rule 26 (a) (Fishing vessels), a vessel engaged in fishing , whether underway or at anchor, shall exhibit only the lights and shapes prescribed in Rule 26 (Fishing vessels). In accordance with Rule 26 (c) (Fishing vessels), a vessel engaged in fishing , other than trawling, shall exhibit: (i) two all-round lights in a vertical line, the upper being red and the lower white; (ii) an all-round white light in the direction of the outlying gear; (iii) sidelights and a sternlight .",,scenario_88.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=88
89,A vessel constrained by her draught under 50 m underway - lights,Type of vessel: Vessel constrained by her draught of less than 50 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 28 (Vessels constrained by their draught) Rule 23 (Power-driven vessels underway ),"In accordance with Rule 28 (Vessels constrained by their draught), a vessel constrained by her draught may, in addition to the lights prescribed for power-driven vessels in Rule 23 (Power-driven vessels underway ), exhibit where they can best be seen three all-round red lights in a vertical line. In accordance with Rule 23 (a) (Power-driven vessels underway ), a power-driven vessel underway shall exhibit: (i) a masthead light forward; (iii) sidelights ; (iv) a sternlight . In accordance with Rule 23 (a)(ii) (Power-driven vessels underway ), a power-driven vessel of less than 50 m in length shall not be obliged to exhibit a second masthead light abaft of and higher than the forward one but may do so.",,scenario_89.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=89
90,A vessel constrained by her draught over 50 m underway - lights,Type of vessel: Vessel constrained by her draught of more than 50 m in length underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 28 (Vessels constrained by their draught) Rule 23 (Power-driven vessels underway ),"In accordance with Rule 28 (Vessels constrained by their draught), a vessel constrained by her draught may, in addition to the lights prescribed for power-driven vessels in Rule 23 (Power-driven vessels underway ), exhibit where they can best be seen three all-round red lights in a vertical line. In accordance with Rule 23 (a) (Power-driven vessels underway ), a power-driven vessel underway shall exhibit: (i) a masthead light forward; (ii) a second masthead light abaft of and higher than the forward one; (iii) sidelights ; (iv) a sternlight .",,scenario_90.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=90
91,A vessel constrained by her draught underway - shapes,Type of vessel: Vessel constrained by her draught underway Time of the day: Daytime,Rule 28 (Vessels constrained by their draught),"In accordance with Rule 28 (Vessels constrained by their draught), a vessel constrained by her draught may exhibit where it can best be seen a cylinder.",,scenario_91.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=91
92,A vessel engaged on pilotage duty underway - lights,Type of vessel: Vessel engaged on pilotage duty underway Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 29 (Pilot vessels),"In accordance with Rule 29 (a) (Pilot vessels), a vessel engaged on pilotage duty shall exhibit: (i) at or near the masthead, two all-round lights in a vertical line, the upper being white and the lower red; (ii) sidelights and a sternlight .",,scenario_92.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=92
93,A vessel engaged on pilotage duty under 50 m at anchor - lights,Type of vessel: Vessel engaged on pilotage duty of less than 50 m in length at anchor Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 29 (Pilot vessels) Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 29 (a) (Pilot vessels), a vessel engaged on pilotage duty shall exhibit: (i) at or near the masthead, two all-round lights in a vertical line, the upper being white and the lower red; (iii) the lights prescribed in Rule 30 (Anchored vessels and vessels aground) for vessels at anchor. In accordance with Rule 30 (b) (Anchored vessels and vessels aground), a vessel of less than 50 m in length may exhibit an all-round white light where it can best be seen instead of the lights prescribed in Rule 30 (a) (Anchored vessels and vessels aground).",,scenario_93.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=93
95,A vessel under 50 m at anchor - lights,Type of vessel: Vessel of less than 50 m in length at anchor Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (b) (Anchored vessels and vessels aground), a vessel of less than 50 m in length may exhibit an all-round white light where it can best be seen instead of the lights prescribed in Rule 30 (a) (Anchored vessels and vessels aground).",,scenario_95.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=95
96,A vessel under 7 m at anchor - lights,"Area: All areas but not in or near a narrow channel , fairway or anchorage, or where other vessels normally navigate Type of vessel: Vessel of less than 7 m in length at anchor Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility",Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (e) (Anchored vessels and vessels aground), a vessel of less than 7 m in length, when at anchor, not in or near a narrow channel , fairway or anchorage, or where other vessels normally navigate, shall not be required to exhibit the lights prescribed in Rule 30 (a) (Anchored vessels and vessels aground) and Rule 30 (b) (Anchored vessels and vessels aground).",,scenario_96.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=96
97,A vessel over 50 m and under 100 m at anchor - lights,Type of vessel: Vessel at anchor of more than 50 m in length but less than 100 m in length Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (a) (Anchored vessels and vessels aground), a vessel at anchor shall exhibit where it can best be seen: (i) in the fore part, an all-round white light; (ii) at or near the stern and at a lower level that the light prescribed in subparagraph (i), an all-round white light.",,scenario_97.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=97
98,A vessel over 100 m at anchor - lights,Type of vessel: Vessel of 100 m and more in length at anchor Time of the day: From sunset to sunrise and from sunrise to sunset in restricted visibility,Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (a) (Anchored vessels and vessels aground), a vessel at anchor shall exhibit where it can best be seen: (i) in the fore part, an all-round white light; (ii) at or near the stern and at a lower level that the light prescribed in subparagraph (i), an all-round white light. In accordance with Rule 30 (c) (Anchored vessels and vessels aground), a vessel of 100 m and more in length at anchor shall, also use the available working or equivalent lights to illuminate her decks.",,scenario_98.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=98
99,A vessel under 7 m at anchor - shapes,"Area: All areas but not in or near a narrow channel , fairway or anchorage, or where other vessels normally navigate Type of vessel: Vessel of less than 7 m in length at anchor Time of the day: Daytime",Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (e) (Anchored vessels and vessels aground), a vessel of less than 7 m in length, when at anchor, not in or near a narrow channel , fairway or anchorage, or where other vessels normally navigate, shall not be required to exhibit shape prescribed in Rule 30 (a)(i) (Anchored vessels and vessels aground).",,scenario_99.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=99
100,A vessel at anchor - shapes,Type of vessel: Vessel at anchor Time of the day: Daytime,Rule 30 (Anchored vessels and vessels aground),"In accordance with Rule 30 (a) (Anchored vessels and vessels aground), a vessel at anchor shall exhibit where it can best be seen: (i) in the fore part, one ball.",,scenario_100.jpg,https://www.ecolregs.com/index.php?option=com_k2&view=item&layout=item&lang=en&id=100
